Name,Area of Land,Number of pixels,Number of nan pixels,Data sum
"Rochester, MN",6415412346,10462,7823,202844.015625
"Raleigh, NC",5485063049,7979,6661,871970.8125
"Rapid City, SD",20213988388,33027,13597,130600.0703125
"Rochester, NY",8459578202,13807,17717,1170946.875
"Reading, PA",2218035729,3427,3833,413102.59375
"Redding, CA",9778230094,15255,7744,180295.96875
"Reno, NV",17004061483,26342,8099,375913.0625
"Richmond, VA",11849685107,17818,15842,1172582.375
"Riverside-San Bernardino-Ontario, CA",70612666121,100122,26732,3589013.0
"Roanoke, VA",4836707818,7186,7446,314845.5625
"Rockford, IL",2056788616,3290,365,360229.875
"Rocky Mount, NC",2708802707,3905,3245,156895.34375
"Rome, GA",1320436485,1863,1609,93900.71875
"San Francisco-Oakland-Hayward, CA",6398146717,10110,21255,4545816.0
"Sacramento--Roseville--Arden-Arcade, CA",13194830979,19977,27759,1981761.0
"San Jose-Sunnyvale-Santa Clara, CA",6940798801,10153,20111,1962068.125
"Saginaw, MI",2073181841,3363,1065,233206.53125
"St. Cloud, MN",4535363820,7803,3153,179146.234375
"St. George, UT",6285757433,9224,1416,98618.3203125
"St. Joseph, MO-KS",4287808936,6565,3436,133992.6875
"St. Louis, MO-IL",20366228920,31179,19146,2955412.0
"Salem, OR",4976607906,8203,9390,382135.84375
"Salinas, CA",8496680819,12603,17811,437830.96875
"Salisbury, MD-DE",5435182698,8872,11513,343541.28125
"Salt Lake City, UT",19901493704,30708,11892,1035674.3125
"San Angelo, TX",6665451423,9110,1530,115533.9296875
"San Antonio-New Braunfels, TX",18939908872,25539,18253,1901732.0
"San Diego-Carlsbad, CA",10898787530,15385,6445,3095178.0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",8548552397,12406,13427,267829.53125
"Santa Cruz-Watsonville, CA",1152967426,1736,3394,275799.84375
"Santa Fe, NM",4941709205,7060,662,141118.328125
"Santa Maria-Santa Barbara, CA",7084000622,10414,33456,442026.46875
"Santa Rosa, CA",4081450561,6193,8532,506595.84375
"Savannah, GA",3479880678,5125,8267,330297.03125
"Scranton--Wilkes-Barre--Hazleton, PA",4523210649,7109,2628,616434.25
"Seattle-Tacoma-Bellevue, WA",15202895519,27065,17350,3359310.75
"Sebastian-Vero Beach, FL",1302197699,1870,980,123113.140625
"Sebring, FL",2632952088,3662,1963,93908.9453125
"Sheboygan, WI",1324905935,2177,3587,123683.3828125
"Sherman-Denison, TX",2415995947,3465,1296,120613.640625
"Shreveport-Bossier City, LA",8257716122,11753,3725,452518.25
"Sumter, SC",1722537126,2471,3353,115400.125
"Sierra Vista-Douglas, AZ",15966166113,21914,829,120858.6953125
"Sioux City, IA-NE-SD",7606373502,12120,5158,186751.546875
"Sioux Falls, SD",6670244321,10791,2415,206438.265625
"South Bend-Mishawaka, IN-MI",2455246507,3937,3317,352833.46875
"Spartanburg, SC",3424370024,4901,4108,315537.34375
"Spokane-Spokane Valley, WA",14611504992,25872,8988,519210.25
"Springfield, IL",3063280704,4657,2675,219870.609375
"Springfield, MA",2963652907,4785,2967,673596.6875
"Springfield, MO",7787763970,11470,3710,404139.75
"Springfield, OH",1029475869,1582,596,157788.3125
"State College, PA",2874529780,4436,5845,146176.296875
"Staunton-Waynesboro, VA",2594641820,3860,3075,120797.3828125
"Stockton-Lodi, CA",3606190671,5457,2643,632816.5
"Syracuse, NY",6176849966,10111,10119,716471.6875
"Tallahassee, FL",6184076376,8681,6039,343467.53125
"Tampa-St. Petersburg-Clearwater, FL",6512939426,9418,4726,2653030.0
"Terre Haute, IN",3794552844,5803,7397,187509.9375
"Texarkana, TX-AR",5290972749,7642,7030,156595.671875
"The Villages, FL",1418509811,1988,1532,57318.10546875
"Vineland-Bridgeton, NJ",1251898435,2018,2518,158205.90625
"Toledo, OH",3531730588,5604,10789,682197.5
"Topeka, KS",8372560286,12707,10813,249626.53125
"Trenton, NJ",581086519,905,1090,382708.4375
"Tucson, AZ",23794788865,32779,12809,927714.3125
"Tulsa, OK",16238463294,24082,19598,948336.125
"Tuscaloosa, AL",7371842758,10447,10651,223189.9375
"Tyler, TX",2386701635,3417,1541,190097.9375
"Utica-Rome, NY",6795727533,11133,11043,330168.65625
"Valdosta, GA",4116602812,5715,4578,132153.75
"Vallejo-Fairfield, CA",2128347201,3368,2708,443250.78125
"Victoria, TX",4491343500,6019,5900,100681.3671875
"Virginia Beach-Norfolk-Newport News, VA-NC",6948499180,11366,17134,1745038.0
"Visalia-Porterville, CA",12494838453,18060,4212,402235.78125
"Waco, TX",4668646550,6473,6459,255339.28125
"Watertown-Fort Drum, NY",3285895343,5820,8064,119699.1640625
"Walla Walla, WA",5538991451,9453,3695,67972.4921875
"Warner Robins, GA",2007363330,2794,3614,160650.453125
"Washington-Arlington-Alexandria, DC-VA-MD-WV",16179837126,24945,27305,5356668.5
"Waterloo-Cedar Falls, IA",3893052582,6185,3643,175995.0625
"Wausau, WI",4001465174,6666,516,139624.765625
"York-Hanover, PA",2341882815,3569,3189,422213.25
"Youngstown-Warren-Boardman, OH-PA",4408711803,6960,2808,663748.25
"Weirton-Steubenville, WV-OH",1502240257,2366,702,145591.109375
"Yuba City, CA",3197189484,4867,7450,159466.203125
"Wenatchee, WA",12277657989,21600,21548,109461.3671875
